campaign_id,name,brand,year,award_show,award_category,industry,extraction_timestamp,award_prestige_score,award_status_binary,award_potential_score,award_hierarchy_level,time_since_award_years,csr_presence_binary,csr_category,csr_message_prominence,csr_authenticity_score,purpose_driven_score,visual_complexity_score,edge_density,spatial_frequency,color_palette_diversity,dominant_color_hue,face_presence_binary,brand_asset_visibility,logo_size_ratio,aesthetic_score,memorability_score,distinctiveness_score,message_sentiment,message_urgency,emotional_tone_score,message_clarity,readability_score,cta_presence,headline_strength,value_proposition_clarity,emotional_words_count,innovation_level,technology_integration,creative_distinctiveness,execution_quality,originality_score,cultural_relevance_score,cultural_authenticity,localization_depth,cultural_symbol_count,trend_alignment,zeitgeist_relevance,campaign_duration_days,budget_allocated,channel_mix_diversity,targeting_precision,message_consistency,strategic_clarity,competitive_pressure,market_saturation,creative_effectiveness_score,roi_multiplier,brand_lift_percentage,engagement_rate,purchase_intent_lift,binary_success,has_gdrive_assets,gdrive_folder_id
REAL_HEAVEN_PALETTE_HEAVEN_PAL,HEAVEN PALETTE,Heaven Palette,2024,Cannes Lions,Creative,Beauty & Fashion,2025-07-11T16:13:31.816067,0.814,1,1.0,1,1,0,None,0.0,0.0,0.0,0.757,0.246,0.323,0.302,107.5,1,0.938,0.088,0.563,0.71,0.892,0.532,0.656,0.3,0.818,65.4,1,0.6,0.897,0,0.3,0.3,0.726,0.737,0.9,0.738,0.7,regional,0,0.735,0.322,61,318839.42,0.492,0.673,0.732,0.877,0.454,0.588,68.9,2.72,22.0,0.559,6.4,1,1,0AJMhu01UUQKoUk9PVA
REAL_LOST_CONVERSATIONS_Lost_Conve,Lost Conversations Materials,Lost Conversations,2025,KIDLAT,Late Bird,Social Cause,2025-07-11T16:13:31.814945,0.52,1,0.72,2,0,1,Social Justice,0.88,0.85,0.748,0.712,0.243,0.799,0.772,158.3,1,0.737,0.109,0.892,0.476,0.723,0.404,0.413,0.4,0.851,71.9,1,0.7,0.696,1,0.3,0.3,0.871,0.78,0.592,0.637,0.7,regional,0,0.702,0.687,61,203785.95,0.609,0.524,0.845,0.659,0.624,0.753,60.5,2.51,16.2,0.503,7.1,0,1,0AJMhu01UUQKoUk9PVA
REAL_MCDONALD'S_McDonald's,McDonald's HIGANTES,McDonald's,2025,KIDLAT,Regular Bird,Food & Beverage,2025-07-11T16:13:31.812720,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.8,0.415,0.331,0.392,42.9,0,0.813,0.079,0.863,0.648,0.664,0.564,0.668,0.3,0.66,76.7,1,0.6,0.668,0,0.3,0.3,0.548,0.776,0.847,0.8,0.85,local,1,0.509,0.327,113,33809.62,0.465,0.582,0.897,0.796,0.388,0.557,57.4,2.43,19.0,0.483,6.2,0,1,0AJMhu01UUQKoUk9PVA
REAL_BOYSEN_Boysen_The,Boysen The Art Of Time,Boysen,2025,KIDLAT,Regular Bird,Home & Garden,2025-07-11T16:13:31.814316,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.513,0.236,0.469,0.561,188.9,0,0.664,0.075,0.873,0.481,0.846,0.766,0.492,0.4,0.838,67.0,1,0.9,0.672,1,0.3,0.3,0.825,0.867,0.761,0.565,0.7,regional,0,0.608,0.39,165,92714.81,0.651,0.709,0.864,0.857,0.698,0.468,55.5,2.39,15.4,0.47,5.1,0,1,0AJMhu01UUQKoUk9PVA
REAL_MAARTE_FAIR_MAARTE_FAI,MAARTE FAIR: FAB FINDS,Maarte Fair,2025,KIDLAT,Dead Bird,Events & Entertainment,2025-07-11T16:13:31.815383,0.4,1,0.6,2,0,0,None,0.0,0.0,0.0,0.438,0.58,0.768,0.489,268.4,0,0.664,0.058,0.544,0.871,0.759,0.6,0.318,0.5,0.761,61.7,1,0.8,0.833,2,0.45,0.45,0.87,0.865,0.775,0.8,0.85,local,1,0.575,0.767,158,225378.57,0.678,0.781,0.643,0.828,0.746,0.626,51.3,2.28,15.7,0.442,3.2,0,1,0AJMhu01UUQKoUk9PVA
REAL_HANA_Hana_Stron,Hana Strong Hair,Hana,2025,KIDLAT,Regular Bird,Personal Care,2025-07-11T16:13:31.814395,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.722,0.404,0.66,0.824,129.1,0,0.643,0.066,0.665,0.701,0.779,0.407,0.439,0.4,0.747,70.6,1,0.7,0.768,1,0.45,0.45,0.594,0.651,0.652,0.561,0.7,regional,0,0.509,0.536,38,215261.79,0.77,0.889,0.804,0.787,0.563,0.455,60.3,2.51,19.8,0.502,7.7,0,1,0AJMhu01UUQKoUk9PVA
REAL_NISSAN_Nissan_For,Nissan Formula E Digital,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815079,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.861,0.217,0.599,0.764,19.7,1,0.729,0.125,0.682,0.42,0.667,0.532,0.623,0.4,0.646,65.5,0,0.8,0.669,1,0.6,0.6,0.746,0.727,0.688,0.589,0.7,regional,0,0.779,0.504,137,23240.69,0.495,0.505,0.713,0.685,0.371,0.6,60.6,2.52,17.9,0.504,5.6,0,1,0AJMhu01UUQKoUk9PVA
REAL_KIDLAT_Kidlat_Hyp,Kidlat Hypercreativity,Kidlat,2025,KIDLAT,Late Bird,Creative Services,2025-07-11T16:13:31.814867,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.72,0.246,0.747,0.378,346.4,1,0.68,0.064,0.707,0.719,0.605,0.699,0.541,0.3,0.88,47.6,1,0.6,0.526,0,0.45,0.45,0.715,0.678,0.564,0.689,0.7,regional,0,0.513,0.402,166,179407.98,0.475,0.555,0.838,0.561,0.494,0.408,60.8,2.52,17.7,0.505,4.8,0,1,0AJMhu01UUQKoUk9PVA
REAL_LOST_CONVERSATIONS_Lost_Conve,Lost Conversations,Lost Conversations,2024,Cannes Lions,Creative,Social Cause,2025-07-11T16:13:31.815920,0.814,1,1.0,1,1,1,Social Justice,0.88,0.85,0.748,0.862,0.451,0.375,0.426,224.0,1,0.802,0.138,0.813,0.511,0.589,0.544,0.731,0.4,0.826,44.2,1,0.6,0.631,1,0.3,0.3,0.552,0.815,0.421,0.727,0.7,regional,0,0.599,0.509,113,147414.06,0.459,0.786,0.854,0.503,0.745,0.459,73.8,2.84,23.6,0.592,8.0,1,1,0AJMhu01UUQKoUk9PVA
REAL_ANGKAS_Angkas_Ang,Angkas Angcuts,Angkas,2025,KIDLAT,Regular Bird,Transportation,2025-07-11T16:13:31.814051,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.64,0.606,0.304,0.438,77.7,1,0.707,0.1,0.734,0.496,0.532,0.561,0.696,0.3,0.849,60.1,1,0.6,0.548,0,0.3,0.3,0.838,0.627,0.519,0.8,0.85,local,1,0.564,0.364,59,394558.97,0.733,0.567,0.675,0.57,0.726,0.427,59.7,2.49,16.7,0.498,5.8,0,1,0AJMhu01UUQKoUk9PVA
REAL_MOVE_MOVE_#FixT,MOVE #FixThePhilippines,MOVE,2025,KIDLAT,Regular Bird,Social Cause,2025-07-11T16:13:31.814154,0.56,1,0.76,2,0,1,Social Justice,0.92,0.88,0.81,0.585,0.508,0.493,0.87,142.9,1,0.661,0.109,0.544,0.874,0.761,0.77,0.789,0.3,0.737,67.3,1,0.6,0.517,0,0.3,0.3,0.501,0.766,0.745,0.593,0.7,regional,0,0.648,0.639,91,226154.19,0.669,0.636,0.797,0.636,0.617,0.673,57.4,2.44,18.4,0.483,6.9,0,1,0AJMhu01UUQKoUk9PVA
REAL_WASHTAG_WASHTAG,WASHTAG,Washtag,2024,Cannes Lions,Creative,Home & Garden,2025-07-11T16:13:31.816140,0.814,1,1.0,1,1,0,None,0.0,0.0,0.0,1.0,0.439,0.637,0.651,141.9,0,0.802,0.078,0.666,0.513,0.599,0.679,0.303,0.3,0.859,44.9,1,0.5,0.662,0,0.3,0.3,0.643,0.78,0.533,0.759,0.7,regional,0,0.577,0.529,100,108105.75,0.593,0.893,0.797,0.577,0.459,0.654,70.8,2.77,20.5,0.572,5.9,1,1,0AJMhu01UUQKoUk9PVA
REAL_PPCRV_PPCRV_Baha,PPCRV Baha for Breakfast,PPCRV,2025,KIDLAT,Regular Bird,Social Cause,2025-07-11T16:13:31.814238,0.56,1,0.76,2,0,1,Social Justice,0.9,0.85,0.765,0.675,0.427,0.481,0.407,78.2,1,0.645,0.147,0.507,0.658,0.535,0.401,0.685,0.3,0.737,53.5,0,0.8,0.891,0,0.3,0.3,0.621,0.762,0.481,0.8,0.85,local,1,0.487,0.777,176,153767.38,0.557,0.894,0.711,0.617,0.473,0.65,59.7,2.49,19.1,0.498,5.5,0,1,0AJMhu01UUQKoUk9PVA
REAL_NISSAN_NISSAN_KIC,NISSAN KICKS FORMULA E,Nissan,2025,KIDLAT,Dead Bird,Automotive,2025-07-11T16:13:31.815768,0.4,1,0.6,2,0,0,None,0.0,0.0,0.0,0.707,0.513,0.424,0.362,224.7,1,0.688,0.07,0.587,0.833,0.548,0.742,0.462,0.3,0.832,51.0,1,0.8,0.834,0,0.45,0.45,0.894,0.697,0.477,0.712,0.7,regional,0,0.756,0.791,142,195003.34,0.686,0.503,0.75,0.801,0.315,0.512,55.7,2.39,18.1,0.472,5.9,0,1,0AJMhu01UUQKoUk9PVA
REAL_SG_ENABLE_#Frequentl,#FrequentlyAwkwardQuestions (FAQ),SG Enable,2024,AOY,Digital Excellence,Social Cause,2025-07-11T16:13:31.816214,0.677,1,0.948,2,1,1,Diversity,0.93,0.9,0.837,0.51,0.337,0.483,0.75,98.1,1,0.632,0.14,0.509,0.465,0.852,0.275,0.6,0.3,0.696,56.2,1,0.6,0.654,0,0.3,0.3,0.611,0.694,0.86,0.769,0.7,regional,0,0.775,0.659,44,22843.21,0.597,0.761,0.734,0.655,0.333,0.475,61.3,2.53,19.8,0.509,4.9,0,1,0AJMhu01UUQKoUk9PVA
REAL_ARTICULATE_Articulate,Articulate PH Logo Design,Articulate,2024,Cannes Lions,Design,Creative Services,2025-07-11T16:13:31.815844,0.769,1,1.0,1,1,0,None,0.0,0.0,0.0,0.647,0.463,0.485,0.347,326.2,1,0.905,0.126,0.524,0.541,0.774,0.34,0.683,0.4,0.895,47.6,1,0.8,0.525,1,0.3,0.3,0.699,0.676,0.64,0.761,0.7,regional,0,0.596,0.798,161,99307.26,0.316,0.62,0.628,0.606,0.656,0.469,64.9,2.62,18.3,0.532,7.8,0,1,0AJMhu01UUQKoUk9PVA
REAL_AOY_AOY_2024_F,AOY 2024 Forging Excellence,AOY,2025,KIDLAT,Dead Bird,Awards & Recognition,2025-07-11T16:13:31.815535,0.4,1,0.6,2,0,0,None,0.0,0.0,0.0,0.782,0.711,0.755,0.348,45.6,0,0.618,0.068,0.748,0.83,0.586,0.563,0.428,0.4,0.717,45.1,1,0.8,0.656,1,0.3,0.3,0.639,0.686,0.729,0.725,0.7,regional,0,0.791,0.548,38,24488.24,0.349,0.885,0.826,0.655,0.379,0.496,54.0,2.35,14.2,0.46,4.8,0,1,0AJMhu01UUQKoUk9PVA
REAL_OISHI_HOT_HIPON,HOT HIPON,Oishi,2020,Creative Impact Awards,Social & Influencer,Food & Beverage,2025-07-11T16:13:31.816513,0.364,1,0.8,2,5,0,None,0.0,0.0,0.0,0.752,0.682,0.672,0.691,28.8,1,0.664,0.086,0.521,0.839,0.847,0.413,0.642,0.3,0.82,44.4,1,0.6,0.692,0,0.3,0.3,0.652,0.78,0.737,0.8,0.85,local,1,0.424,0.772,62,38051.62,0.401,0.797,0.638,0.521,0.709,0.591,54.3,2.36,17.5,0.462,6.2,0,1,0AJMhu01UUQKoUk9PVA
REAL_PRODUCTS_OF_PEACE_PRODUCTS_O,PRODUCTS OF PEACE LOGO,Products of Peace,2025,KIDLAT,Dead Bird,Social Cause,2025-07-11T16:13:31.815690,0.4,1,0.6,2,0,1,Social Justice,0.95,0.9,0.855,0.6,0.506,0.378,0.757,232.4,1,0.776,0.103,0.732,0.825,0.757,0.691,0.306,0.4,0.751,52.8,0,0.8,0.835,1,0.3,0.3,0.795,0.709,0.583,0.764,0.7,regional,0,0.491,0.421,130,100329.54,0.398,0.815,0.659,0.538,0.335,0.674,55.4,2.38,16.4,0.469,6.4,0,1,0AJMhu01UUQKoUk9PVA
REAL_NISSAN_Nissan_Kic,Nissan Kicks x Formula E,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.814551,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.671,0.453,0.738,0.449,56.4,0,0.62,0.13,0.831,0.773,0.692,0.368,0.575,0.3,0.733,54.9,1,0.9,0.812,0,0.45,0.45,0.746,0.719,0.663,0.549,0.7,regional,0,0.778,0.491,58,25599.68,0.692,0.755,0.774,0.607,0.684,0.756,58.8,2.47,18.7,0.492,3.8,0,1,0AJMhu01UUQKoUk9PVA
REAL_CHAMPION_Champion_P,Champion Price Drop,Champion,2025,KIDLAT,Late Bird,Retail,2025-07-11T16:13:31.814790,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.986,0.405,0.549,0.322,6.4,1,0.82,0.067,0.669,0.899,0.581,0.573,0.596,0.3,0.659,42.9,1,0.7,0.651,0,0.3,0.3,0.784,0.708,0.556,0.721,0.7,regional,0,0.734,0.795,85,228814.09,0.653,0.626,0.81,0.824,0.618,0.448,58.4,2.46,19.1,0.489,6.3,0,1,0AJMhu01UUQKoUk9PVA
REAL_NISSAN_Nissan_Ele,Nissan Electric Innovation,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815230,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.889,0.561,0.71,0.427,17.4,1,0.861,0.073,0.741,0.882,0.774,0.486,0.597,0.5,0.719,60.9,1,0.7,0.506,2,0.6,0.6,0.547,0.771,0.628,0.757,0.7,regional,0,0.537,0.742,61,57461.21,0.378,0.698,0.748,0.874,0.444,0.616,67.8,2.7,18.7,0.552,8.0,1,1,0AJMhu01UUQKoUk9PVA
REAL_MCDONALD'S_McDonald's,McDonald's Lovin' All,McDonald's,2024,AOY,Digital Excellence,Food & Beverage,2025-07-11T16:13:31.816290,0.677,1,0.948,2,1,0,None,0.0,0.0,0.0,0.626,0.348,0.613,0.48,78.2,1,0.681,0.089,0.617,0.424,0.558,0.598,0.382,0.3,0.9,65.4,1,0.7,0.715,0,0.3,0.3,0.61,0.807,0.473,0.67,0.7,regional,0,0.54,0.69,32,64637.44,0.3,0.662,0.608,0.765,0.708,0.498,60.8,2.52,19.1,0.506,7.9,0,1,0AJMhu01UUQKoUk9PVA
REAL_OISHI_OISHI_FACE,OISHI FACEPACK,Oishi,2025,KIDLAT,Dead Bird,Food & Beverage,2025-07-11T16:13:31.815612,0.4,1,0.6,2,0,0,None,0.0,0.0,0.0,0.818,0.491,0.767,0.446,262.0,1,0.999,0.055,0.882,0.688,0.5,0.767,0.401,0.3,0.766,66.7,1,0.6,0.773,0,0.3,0.3,0.589,0.693,0.636,0.706,0.7,regional,0,0.589,0.583,170,39499.85,0.445,0.793,0.819,0.638,0.471,0.791,55.2,2.38,15.1,0.468,5.2,0,1,0AJMhu01UUQKoUk9PVA
REAL_CALLA_Calla_Baho,Calla Bahopocalypse,Calla,2025,KIDLAT,Late Bird,Beauty & Fashion,2025-07-11T16:13:31.814474,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,1.0,0.257,0.768,0.782,329.6,1,0.947,0.056,0.631,0.471,0.825,0.235,0.336,0.3,0.643,43.1,1,0.6,0.828,0,0.3,0.3,0.533,0.819,0.478,0.665,0.7,regional,0,0.799,0.643,102,55693.5,0.326,0.887,0.742,0.596,0.39,0.744,56.5,2.41,17.6,0.477,3.7,0,1,0AJMhu01UUQKoUk9PVA
